Age,L,M,S
6.0,1.268,0.366,0.112
6.5,1.262,0.368,0.111
7.0,1.256,0.369,0.109
7.5,1.251,0.371,0.108
8.0,1.25,0.373,0.107
8.5,1.254,0.374,0.106
9.0,1.262,0.375,0.105
9.5,1.273,0.376,0.105
10.0,1.282,0.377,0.105
10.5,1.283,0.377,0.105
11.0,1.272,0.378,0.106
11.5,1.244,0.379,0.107
12.0,1.198,0.38,0.108
12.5,1.133,0.381,0.11
13.0,1.053,0.382,0.111
13.5,0.963,0.383,0.113
14.0,0.873,0.384,0.114
14.5,0.793,0.385,0.115
15.0,0.729,0.385,0.116
15.5,0.68,0.386,0.117
16.0,0.639,0.387,0.117
16.5,0.603,0.387,0.118
17.0,0.569,0.388,0.118
17.5,0.534,0.388,0.118
18.0,0.591,0.391,0.117
